2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps1
134: acc=60.11% acc_corr=62.63% avg#q_ae=53.18 med#q=135.0, avg_margin=3.85, buff=19194, (n_ex=9597, eps=1.000, 793.86s)
135: acc=60.06% acc_corr=62.58% avg#q_ae=53.30 med#q=136.0, avg_margin=3.84, buff=19194, (n_ex=9597, eps=1.000, 798.66s)
136: acc=59.92% acc_corr=62.44% avg#q_ae=53.62 med#q=137.0, avg_margin=3.83, buff=19194, (n_ex=9597, eps=1.000, 803.44s)
137: acc=59.87% acc_corr=62.38% avg#q_ae=53.74 med#q=138.0, avg_margin=3.82, buff=19194, (n_ex=9597, eps=1.000, 808.19s)
138: acc=59.78% acc_corr=62.29% avg#q_ae=53.96 med#q=139.0, avg_margin=3.81, buff=19194, (n_ex=9597, eps=1.000, 813.00s)
139: acc=59.69% acc_corr=62.20% avg#q_ae=54.17 med#q=140.0, avg_margin=3.80, buff=19194, (n_ex=9597, eps=1.000, 817.75s)
140: acc=59.53% acc_corr=62.03% avg#q_ae=54.56 med#q=141.0, avg_margin=3.78, buff=19194, (n_ex=9597, eps=1.000, 822.58s)
141: acc=59.36% acc_corr=61.85% avg#q_ae=54.97 med#q=142.0, avg_margin=3.77, buff=19194, (n_ex=9597, eps=1.000, 827.36s)
142: acc=59.19% acc_corr=61.68% avg#q_ae=55.38 med#q=143.0, avg_margin=3.76, buff=19194, (n_ex=9597, eps=1.000, 832.09s)
143: acc=59.13% acc_corr=61.61% avg#q_ae=55.53 med#q=144.0, avg_margin=3.75, buff=19194, (n_ex=9597, eps=1.000, 836.74s)
144: acc=59.03% acc_corr=61.51% avg#q_ae=55.77 med#q=145.0, avg_margin=3.74, buff=19194, (n_ex=9597, eps=1.000, 841.45s)
145: acc=58.91% acc_corr=61.38% avg#q_ae=56.07 med#q=146.0, avg_margin=3.73, buff=19194, (n_ex=9597, eps=1.000, 846.21s)
146: acc=58.79% acc_corr=61.26% avg#q_ae=56.36 med#q=147.0, avg_margin=3.72, buff=19194, (n_ex=9597, eps=1.000, 850.88s)
147: acc=58.63% acc_corr=61.09% avg#q_ae=56.76 med#q=148.0, avg_margin=3.70, buff=19194, (n_ex=9597, eps=1.000, 855.59s)
148: acc=58.50% acc_corr=60.96% avg#q_ae=57.08 med#q=149.0, avg_margin=3.69, buff=19194, (n_ex=9597, eps=1.000, 860.26s)
149: acc=58.31% acc_corr=60.76% avg#q_ae=57.56 med#q=150.0, avg_margin=3.67, buff=19194, (n_ex=9597, eps=1.000, 865.02s)
150: acc=58.22% acc_corr=60.66% avg#q_ae=57.78 med#q=151.0, avg_margin=3.66, buff=19194, (n_ex=9597, eps=1.000, 869.67s)
151: acc=58.11% acc_corr=60.55% avg#q_ae=58.06 med#q=152.0, avg_margin=3.65, buff=19194, (n_ex=9597, eps=1.000, 874.33s)
152: acc=58.01% acc_corr=60.45% avg#q_ae=58.31 med#q=153.0, avg_margin=3.64, buff=19194, (n_ex=9597, eps=1.000, 878.99s)
153: acc=57.90% acc_corr=60.33% avg#q_ae=58.59 med#q=154.0, avg_margin=3.63, buff=19194, (n_ex=9597, eps=1.000, 883.66s)
154: acc=57.84% acc_corr=60.27% avg#q_ae=58.75 med#q=155.0, avg_margin=3.62, buff=19194, (n_ex=9597, eps=1.000, 888.21s)
155: acc=57.69% acc_corr=60.11% avg#q_ae=59.13 med#q=156.0, avg_margin=3.61, buff=19194, (n_ex=9597, eps=1.000, 892.84s)
156: acc=57.57% acc_corr=59.99% avg#q_ae=59.44 med#q=157.0, avg_margin=3.60, buff=19194, (n_ex=9597, eps=1.000, 897.44s)
157: acc=57.47% acc_corr=59.88% avg#q_ae=59.70 med#q=158.0, avg_margin=3.59, buff=19194, (n_ex=9597, eps=1.000, 902.02s)
