2021-05-08_02-19-18_MIDA_IFTY0_easydlmnist_HRZ0_RND1__Eps3
142: acc=1.88% acc_corr=1.91% avg#q_ae=28.48 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36952.33s
143: acc=1.86% acc_corr=1.89% avg#q_ae=28.50 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36975.51s
144: acc=1.85% acc_corr=1.88% avg#q_ae=28.51 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36999.62s
145: acc=1.80% acc_corr=1.83% avg#q_ae=28.58 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37021.70s
146: acc=1.78% acc_corr=1.81% avg#q_ae=28.60 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37043.43s
147: acc=1.72% acc_corr=1.75% avg#q_ae=28.67 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37062.45s
148: acc=1.67% acc_corr=1.70% avg#q_ae=28.74 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37079.97s
149: acc=1.64% acc_corr=1.67% avg#q_ae=28.78 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37099.98s
150: acc=1.58% acc_corr=1.61% avg#q_ae=28.85 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37247.62s
151: acc=1.53% acc_corr=1.56% avg#q_ae=28.92 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37267.84s
152: acc=1.51% acc_corr=1.54% avg#q_ae=28.94 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37289.79s
153: acc=1.47% acc_corr=1.49% avg#q_ae=28.99 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37308.46s
154: acc=1.45% acc_corr=1.47% avg#q_ae=29.02 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37326.70s
155: acc=1.43% acc_corr=1.45% avg#q_ae=29.05 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37344.81s
156: acc=1.40% acc_corr=1.42% avg#q_ae=29.09 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37362.36s
157: acc=1.38% acc_corr=1.40% avg#q_ae=29.11 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37378.17s
158: acc=1.36% acc_corr=1.38% avg#q_ae=29.14 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37395.14s
159: acc=1.34% acc_corr=1.36% avg#q_ae=29.17 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37411.35s
160: acc=1.30% acc_corr=1.32% avg#q_ae=29.22 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37428.61s
161: acc=1.26% acc_corr=1.28% avg#q_ae=29.28 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37445.20s
162: acc=1.25% acc_corr=1.27% avg#q_ae=29.29 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37460.51s
163: acc=1.24% acc_corr=1.26% avg#q_ae=29.30 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37476.41s
164: acc=1.21% acc_corr=1.23% avg#q_ae=29.35 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 37491.23s
